price,room_type,neighbourhood_group,average_price,average_minimum_nights,total_number_of_reviews,average_reviews_per_month
51,Private room,Queens,51.0,1.7333333333333334,852,3.466666666666667
51,Shared room,Bronx,51.0,3.0,9,0.26
51,Shared room,Queens,51.0,1.0,17,1.84
52,Entire home/apt,Brooklyn,52.0,1.0,45,2.6350000000000002
52,Entire home/apt,Queens,52.0,4.5,2,0.105
52,Private room,Bronx,52.0,3.5,64,1.0
52,Private room,Brooklyn,52.0,2.64,1768,1.574
52,Private room,Manhattan,52.0,2.92,755,1.1696
52,Private room,Queens,52.0,1.6428571428571428,751,2.3971428571428572
52,Private room,Staten Island,52.0,1.3333333333333333,214,2.48
52,Shared room,Brooklyn,52.0,3.0,19,0.44
52,Shared room,Queens,52.0,1.0,1,0.02
53,Entire home/apt,Brooklyn,53.0,3.0,4,0.3
53,Entire home/apt,Manhattan,53.0,7.0,7,0.33
53,Private room,Bronx,53.0,2.25,531,2.735
53,Private room,Brooklyn,53.0,2.2,2106,1.8777777777777778
53,Private room,Manhattan,53.0,2.5714285714285716,550,1.7085714285714286
53,Private room,Queens,53.0,2.4,1079,3.2225
53,Shared room,Manhattan,53.0,2.0,16,1.2966666666666666
54,Entire home/apt,Queens,54.0,2.5,74,2.5549999999999997
54,Private room,Bronx,54.0,1.0,25,0.725
54,Private room,Brooklyn,54.0,2.3125,1499,1.84375
54,Private room,Manhattan,54.0,3.4285714285714284,327,1.2207142857142856
54,Private room,Queens,54.0,2.0,918,3.329166666666667
54,Private room,Staten Island,54.0,2.0,48,0.59
54,Shared room,Brooklyn,54.0,5.0,73,1.56
55,Entire home/apt,Bronx,55.0,3.0,26,3.36
55,Entire home/apt,Brooklyn,55.0,2.3125,641,1.73
55,Entire home/apt,Manhattan,55.0,4.5,81,0.645
55,Entire home/apt,Queens,55.0,1.6666666666666667,52,4.016666666666667
55,Private room,Bronx,55.0,1.588235294117647,1130,3.028235294117647
55,Private room,Brooklyn,55.0,2.3788300835654597,9137,1.3782729805013927
55,Private room,Manhattan,55.0,3.008130081300813,3077,1.2101626016260163
55,Private room,Queens,55.0,1.7804878048780488,6749,2.528780487804878
55,Private room,Staten Island,55.0,2.0833333333333335,313,2.2175
55,Shared room,Bronx,55.0,4.0,13,0.235
55,Shared room,Brooklyn,55.0,2.0,1,0.06
55,Shared room,Manhattan,55.0,2.111111111111111,422,2.1944444444444446
55,Shared room,Queens,55.0,1.0,26,0.55
56,Entire home/apt,Brooklyn,56.0,2.6666666666666665,87,1.366666666666667
56,Private room,Bronx,56.0,2.0,136,2.925
56,Private room,Brooklyn,56.0,2.393939393939394,1017,1.4666666666666666
56,Private room,Manhattan,56.0,2.25,140,1.00125
56,Private room,Queens,56.0,2.888888888888889,278,2.052222222222222
56,Private room,Staten Island,56.0,1.0,145,2.38
56,Shared room,Manhattan,56.0,2.0,117,1.53
57,Entire home/apt,Brooklyn,57.0,1.6666666666666667,105,2.11
57,Entire home/apt,Queens,57.0,1.0,211,5.205
57,Private room,Bronx,57.0,2.0,132,0.9566666666666667
57,Private room,Brooklyn,57.0,2.25531914893617,1532,1.7317021276595745
57,Private room,Manhattan,57.0,2.7142857142857144,377,1.9207142857142858
57,Private room,Queens,57.0,1.6666666666666667,246,2.128888888888889
57,Private room,Staten Island,57.0,1.0,7,3.56
57,Shared room,Bronx,57.0,1.0,4,4.0
58,Entire home/apt,Bronx,58.0,4.0,60,1.465
58,Entire home/apt,Brooklyn,58.0,2.6666666666666665,44,0.7433333333333333
58,Entire home/apt,Manhattan,58.0,2.0,9,0.32
58,Entire home/apt,Queens,58.0,2.0,19,2.95
58,Entire home/apt,Staten Island,58.0,1.0,87,4.18
58,Private room,Bronx,58.0,3.0,84,2.74
58,Private room,Brooklyn,58.0,2.196969696969697,2342,1.793939393939394
58,Private room,Manhattan,58.0,2.3333333333333335,1253,1.5642857142857143
58,Private room,Queens,58.0,1.8148148148148149,1139,2.1596296296296296
58,Private room,Staten Island,58.0,3.0,93,2.1
58,Shared room,Queens,58.0,1.5,16,2.3899999999999997
59,Entire home/apt,Bronx,59.0,2.0,2,2.0
59,Entire home/apt,Brooklyn,59.0,3.0,521,1.85
59,Entire home/apt,Manhattan,59.0,2.0,55,2.44
59,Entire home/apt,Queens,59.0,1.0,282,3.5075000000000003
59,Private room,Bronx,59.0,2.2,302,1.47
59,Private room,Brooklyn,59.0,2.38,4601,1.9668
59,Private room,Manhattan,59.0,2.8636363636363638,1272,1.3177272727272729
59,Private room,Queens,59.0,1.6545454545454545,2991,2.0794545454545457
59,Private room,Staten Island,59.0,2.0,76,0.8350000000000001
59,Shared room,Brooklyn,59.0,1.0,44,1.8
59,Shared room,Manhattan,59.0,1.25,82,1.57
60,Entire home/apt,Bronx,60.0,2.1818181818181817,360,2.6572727272727272
60,Entire home/apt,Brooklyn,60.0,2.902439024390244,767,1.6129268292682926
60,Entire home/apt,Manhattan,60.0,3.6666666666666665,163,0.9716666666666667
60,Entire home/apt,Queens,60.0,2.347826086956522,1045,2.7769565217391308
60,Entire home/apt,Staten Island,60.0,2.25,278,3.005
60,Private room,Bronx,60.0,1.9,1218,1.74825
60,Private room,Brooklyn,60.0,2.3874755381604698,13498,1.2682191780821916
60,Private room,Manhattan,60.0,2.38755980861244,6767,1.3977033492822968
60,Private room,Queens,60.0,1.9528795811518325,6578,1.9064397905759163
60,Private room,Staten Island,60.0,3.0,90,5.49
60,Shared room,Bronx,60.0,1.5,13,0.305
60,Shared room,Brooklyn,60.0,1.8,18,0.20600000000000002
60,Shared room,Manhattan,60.0,1.1333333333333333,396,2.8866666666666663
60,Shared room,Queens,60.0,2.2,147,2.372
61,Entire home/apt,Brooklyn,61.0,2.0,128,1.4674999999999998
61,Entire home/apt,Queens,61.0,2.0,32,4.71
61,Private room,Brooklyn,61.0,1.9444444444444444,625,1.392777777777778
61,Private room,Manhattan,61.0,3.0,329,0.859090909090909
61,Private room,Queens,61.0,2.142857142857143,364,1.8842857142857146
61,Shared room,Manhattan,61.0,1.0,5,0.15
62,Entire home/apt,Bronx,62.0,2.5,93,3.005
62,Entire home/apt,Brooklyn,62.0,1.3333333333333333,194,2.9566666666666666
62,Entire home/apt,Manhattan,62.0,4.0,4,0.29
62,Entire home/apt,Queens,62.0,2.6666666666666665,57,1.1366666666666667
62,Private room,Bronx,62.0,1.5,102,2.6225
62,Private room,Brooklyn,62.0,2.061224489795918,2435,1.8512244897959182
62,Private room,Manhattan,62.0,3.2,510,1.5348000000000002
62,Private room,Queens,62.0,1.7857142857142858,817,2.7942857142857145
62,Shared room,Brooklyn,62.0,2.0,45,0.9
62,Shared room,Manhattan,62.0,1.0,226,4.493333333333333
63,Entire home/apt,Bronx,63.0,5.0,85,2.24
63,Entire home/apt,Brooklyn,63.0,3.8333333333333335,132,0.7566666666666667
63,Entire home/apt,Queens,63.0,2.5,275,2.2625
63,Private room,Bronx,63.0,2.5,43,0.905
63,Private room,Brooklyn,63.0,2.6578947368421053,836,1.4986842105263158
63,Private room,Manhattan,63.0,2.6153846153846154,474,2.273076923076923
63,Private room,Queens,63.0,2.7,166,0.9189999999999999
63,Private room,Staten Island,63.0,1.0,10,2.65
63,Shared room,Manhattan,63.0,1.0,20,0.62
64,Entire home/apt,Brooklyn,64.0,3.0,19,0.7833333333333332
64,Entire home/apt,Queens,64.0,2.25,237,2.67
64,Private room,Bronx,64.0,2.0,47,2.1550000000000002
64,Private room,Brooklyn,64.0,2.6842105263157894,1501,1.151578947368421
64,Private room,Manhattan,64.0,2.4444444444444446,763,1.1172222222222221
64,Private room,Queens,64.0,2.0,85,1.454
64,Shared room,Brooklyn,64.0,1.0,69,3.04
65,Entire home/apt,Bronx,65.0,2.1666666666666665,191,1.6466666666666665
65,Entire home/apt,Brooklyn,65.0,2.9,1524,2.011
65,Entire home/apt,Manhattan,65.0,3.3076923076923075,337,0.8746153846153847
65,Entire home/apt,Queens,65.0,2.1363636363636362,1085,2.610909090909091
65,Entire home/apt,Staten Island,65.0,3.0,356,3.59
65,Private room,Bronx,65.0,2.269230769230769,693,1.5684615384615386
65,Private room,Brooklyn,65.0,2.383720930232558,11340,1.4881627906976744
65,Private room,Manhattan,65.0,2.485294117647059,6379,1.3131372549019609
65,Private room,Queens,65.0,1.856115107913669,6025,2.4976978417266187
65,Private room,Staten Island,65.0,1.0,114,1.33125
65,Shared room,Bronx,65.0,2.0,4,0.39
65,Shared room,Brooklyn,65.0,1.5,10,0.105
65,Shared room,Manhattan,65.0,1.8571428571428572,879,2.2182142857142857
65,Shared room,Queens,65.0,2.4,22,0.8879999999999999
66,Entire home/apt,Brooklyn,66.0,3.2,68,0.9099999999999999
66,Entire home/apt,Manhattan,66.0,3.0,20,1.155
66,Entire home/apt,Queens,66.0,3.3333333333333335,105,1.64
66,Private room,Brooklyn,66.0,2.096774193548387,344,1.0574193548387096
66,Private room,Manhattan,66.0,2.4,161,1.8150000000000002
66,Private room,Queens,66.0,2.6,254,1.823
66,Shared room,Manhattan,66.0,1.0,1,1.0
67,Entire home/apt,Bronx,67.0,5.0,207,2.885
67,Entire home/apt,Brooklyn,67.0,2.25,263,1.28875
67,Entire home/apt,Manhattan,67.0,3.0,7,0.06999999999999999
67,Entire home/apt,Queens,67.0,3.0,93,4.46
67,Entire home/apt,Staten Island,67.0,2.0,39,3.45
67,Private room,Brooklyn,67.0,2.5161290322580645,989,1.4625806451612902
67,Private room,Manhattan,67.0,2.0869565217391304,857,1.5365217391304349
67,Private room,Queens,67.0,2.0,348,5.418333333333333
68,Entire home/apt,Brooklyn,68.0,2.1,177,1.024
68,Entire home/apt,Manhattan,68.0,3.5,99,1.225
68,Entire home/apt,Queens,68.0,2.5,51,2.465
68,Entire home/apt,Staten Island,68.0,2.0,12,3.65
68,Private room,Bronx,68.0,1.5,64,0.6375
68,Private room,Brooklyn,68.0,2.7551020408163267,1338,1.4938775510204083
